,ALA-TSE,TSE-ALA,ALA-MOW,MOW-ALA,ALA-CIT,CIT-ALA,TSE-MOW,MOW-TSE,TSE-LED,LED-TSE
0,"('20/08/2020', 8341)","('23/08/2020', 8346)","('19/08/2020', 46249)","('18/08/2020', 46180)","('18/08/2020', 7151)","('18/08/2020', 7151)","('18/08/2020', 36713)","('18/08/2020', 36639)","('25/08/2020', 43251)","('10/09/2020', 39270)"
1,"('22/08/2020', 8341)","('24/08/2020', 8346)","('20/08/2020', 46249)","('19/08/2020', 46180)","('19/08/2020', 7151)","('19/08/2020', 7151)","('19/08/2020', 36713)","('19/08/2020', 36639)","('26/08/2020', 43251)","('11/09/2020', 39270)"
2,"('23/08/2020', 8341)","('25/08/2020', 8346)","('21/08/2020', 46249)","('20/08/2020', 46180)","('20/08/2020', 7151)","('20/08/2020', 7151)","('20/08/2020', 36713)","('20/08/2020', 36639)","('27/08/2020', 43251)","('12/09/2020', 39270)"
3,"('24/08/2020', 8341)","('26/08/2020', 8346)","('22/08/2020', 46249)","('21/08/2020', 46180)","('21/08/2020', 7151)","('21/08/2020', 7151)","('21/08/2020', 36713)","('21/08/2020', 36639)","('28/08/2020', 43251)","('13/09/2020', 39270)"
4,"('25/08/2020', 8341)","('27/08/2020', 8346)","('23/08/2020', 46249)","('22/08/2020', 46180)","('22/08/2020', 7151)","('22/08/2020', 7151)","('22/08/2020', 36713)","('22/08/2020', 36639)","('29/08/2020', 43251)","('14/09/2020', 39270)"
5,"('26/08/2020', 8341)","('28/08/2020', 8346)","('26/08/2020', 46249)","('23/08/2020', 46180)","('23/08/2020', 7151)","('23/08/2020', 7151)","('23/08/2020', 36713)","('23/08/2020', 36639)","('30/08/2020', 43251)","('15/09/2020', 39270)"
6,"('27/08/2020', 8341)","('29/08/2020', 8346)","('28/08/2020', 46249)","('24/08/2020', 46180)","('24/08/2020', 7151)","('24/08/2020', 7151)","('24/08/2020', 36713)","('24/08/2020', 36639)","('31/08/2020', 43251)","('16/09/2020', 39270)"
7,"('28/08/2020', 8341)","('30/08/2020', 8346)","('29/08/2020', 46249)","('25/08/2020', 46180)","('25/08/2020', 7151)","('25/08/2020', 7151)","('25/08/2020', 36713)","('25/08/2020', 36639)","('01/09/2020', 43251)","('17/09/2020', 39270)"
8,"('29/08/2020', 8341)","('31/08/2020', 8346)","('30/08/2020', 46249)","('26/08/2020', 46180)","('26/08/2020', 7151)","('26/08/2020', 7151)","('26/08/2020', 36713)","('26/08/2020', 36639)","('02/09/2020', 43251)","('18/09/2020', 39270)"
9,"('30/08/2020', 8341)","('01/09/2020', 8346)","('31/08/2020', 46249)","('27/08/2020', 46180)","('27/08/2020', 7151)","('27/08/2020', 7151)","('27/08/2020', 36713)","('27/08/2020', 36639)","('03/09/2020', 43251)","('20/08/2020', 39630)"
10,"('31/08/2020', 8341)","('02/09/2020', 8346)","('01/09/2020', 46249)","('28/08/2020', 46180)","('28/08/2020', 7151)","('28/08/2020', 7151)","('28/08/2020', 36713)","('28/08/2020', 36639)","('04/09/2020', 43251)","('21/08/2020', 39630)"
11,"('01/09/2020', 8341)","('03/09/2020', 8346)","('02/09/2020', 46249)","('29/08/2020', 46180)","('29/08/2020', 7151)","('29/08/2020', 7151)","('29/08/2020', 36713)","('29/08/2020', 36639)","('05/09/2020', 43251)","('22/08/2020', 39630)"
12,"('02/09/2020', 8341)","('04/09/2020', 8346)","('03/09/2020', 46249)","('30/08/2020', 46180)","('30/08/2020', 7151)","('30/08/2020', 7151)","('30/08/2020', 36713)","('30/08/2020', 36639)","('06/09/2020', 43251)","('23/08/2020', 39630)"
13,"('03/09/2020', 8341)","('05/09/2020', 8346)","('04/09/2020', 46249)","('31/08/2020', 46180)","('31/08/2020', 7151)","('31/08/2020', 7151)","('31/08/2020', 36713)","('31/08/2020', 36639)","('07/09/2020', 43251)","('24/08/2020', 39630)"
14,"('04/09/2020', 8341)","('06/09/2020', 8346)","('05/09/2020', 46249)","('01/09/2020', 46180)","('01/09/2020', 7151)","('01/09/2020', 7151)","('01/09/2020', 36713)","('01/09/2020', 36639)","('08/09/2020', 43251)","('25/08/2020', 39630)"
15,"('05/09/2020', 8341)","('07/09/2020', 8346)","('06/09/2020', 46249)","('02/09/2020', 46180)","('02/09/2020', 7151)","('02/09/2020', 7151)","('02/09/2020', 36713)","('02/09/2020', 36639)","('09/09/2020', 43251)","('26/08/2020', 39630)"
16,"('06/09/2020', 8341)","('08/09/2020', 8346)","('07/09/2020', 46249)","('03/09/2020', 46180)","('03/09/2020', 7151)","('03/09/2020', 7151)","('03/09/2020', 36713)","('03/09/2020', 36639)","('10/09/2020', 43251)","('27/08/2020', 39630)"
